FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.2009,2009,POINT (16.528781460263694 48.21141282125827),Rosalia-Chladek-Gasse,Rosalia-Chladek-G.,98A,
OEFFHALTESTOGD.2010,2010,POINT (16.495652751556523 48.212207468666534),Jägermaiszufahrt,Jägermaiszufahrt,98A,
OEFFHALTESTOGD.2011,2011,POINT (16.45763479474785 48.22106643346101),Hardeggasse,Hardegg.,92A,
OEFFHALTESTOGD.2012,2012,POINT (16.52414619151967 48.21242099052475),Schlachthammerstraße,Schlachthammerstr.,98A,
OEFFHALTESTOGD.2013,2013,POINT (16.486343301791706 48.22088299848296),Aurikelweg,Aurikelweg,97A,
OEFFHALTESTOGD.2014,2014,POINT (16.457700793145335 48.22090954474114),Hardeggasse,Hardegg.,U2,
OEFFHALTESTOGD.2015,2015,POINT (16.45758367814636 48.22071378578364),Hardeggasse,Hardegg.,96B,
OEFFHALTESTOGD.2016,2016,POINT (16.488166780915652 48.220538297876836),Pilotengasse,Piloteng.,97A,
OEFFHALTESTOGD.2017,2017,POINT (16.456046449013343 48.21260998875961),Kanalstraße,Kanalstr.,"92A, 93A, 96B",
OEFFHALTESTOGD.2018,2018,POINT (16.529698559538883 48.2126675211257),Seefeldergasse,Seefelderg.,"26A, 98A, 99B",
OEFFHALTESTOGD.2019,2019,POINT (16.533142438472225 48.22007067356131),Gernotgasse,Gernotg.,99B,
OEFFHALTESTOGD.2020,2020,POINT (16.478675660958558 48.212753906304854),Wulzendorfstraße,Wulzendorfstr.,92A,
OEFFHALTESTOGD.2021,2021,POINT (16.467098882445907 48.21287952980852),Orchisgasse,Orchisg.,95B,
OEFFHALTESTOGD.2022,2022,POINT (16.449856830344018 48.21990555522576),Stadlau,Stadlau,U2,
OEFFHALTESTOGD.2023,2023,POINT (16.475725852538194 48.21313945677474),Stavangergasse,Stavangerg.,92A,
OEFFHALTESTOGD.2024,2024,POINT (16.458671221967823 48.219802070027804),Stadlauer Friedhof,Stadlauer Friedh.,92A,
OEFFHALTESTOGD.2025,2025,POINT (16.529222387509197 48.21963721881331),Wehrbrücklstraße/Gernotgasse,Wehrbrücklstr./Gernotg.,98A,
OEFFHALTESTOGD.2026,2026,POINT (16.45062532100523 48.21327201984321),Franz-Pletersky-Weg,Franz-Pletersky-Weg,"92A, 93A",
OEFFHALTESTOGD.2027,2027,POINT (16.464876034190606 48.21952183940807),Donauspital,Donauspital,25,
OEFFHALTESTOGD.2028,2028,POINT (16.54431940976066 48.21936721291895),Greinzgasse,Greinzg.,"98A, 99B",
OEFFHALTESTOGD.2029,2029,POINT (16.464621413084675 48.21945074068544),Donauspital,Donauspital,95B,
OEFFHALTESTOGD.2030,2030,POINT (16.46656247909049 48.2194283203306),Donauspital,Donauspital,U2,
OEFFHALTESTOGD.2031,2031,POINT (16.448382246901964 48.219063329414276),Stadlau,Stadlau,94A,
OEFFHALTESTOGD.2032,2032,POINT (16.448489929223406 48.21898453369219),Stadlau,Stadlau,"86A, 87A",
