FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1,1,POINT (16.303415260266803 48.18773216500493),Hietzing,Hietzing,"156B, 56B, 58B",
OEFFHALTESTOGD.2,2,POINT (16.28331591646779 48.134855639503755),Liesing,Liesing,"207, 253, 255, 256, 257, 259, 264, 354, 60A, 62A, 64A, 66A",
OEFFHALTESTOGD.3,3,POINT (16.297113436109104 48.141188803711756),Carlbergergasse,Carlbergerg.,"60A, 66A",
OEFFHALTESTOGD.4,4,POINT (16.286509176848185 48.173715448260666),Speising,Speising,"156B, 56B",
OEFFHALTESTOGD.5,5,POINT (16.33426602448889 48.17476261895152),Philadelphiabrücke bzw. Meidling (ÖBB),Philadelphiabr. bzw. Meidling (ÖBB),"500, 511, 512, S1, S15, S2, S3, S60, S80",
OEFFHALTESTOGD.6,6,POINT (16.27650778462069 48.192075495671475),Ober Sankt Veit,Ober St. Veit,"47A, 54B, 55B",
OEFFHALTESTOGD.7,7,POINT (16.31194339401551 48.17194870670503),Edelsinnstraße,Edelsinnstr.,"63A, 8A",
OEFFHALTESTOGD.8,8,POINT (16.260919977448552 48.197290866010256),Hütteldorf,Hütteldorf,"100, S1, S15, S2, S3, S50, S60",
OEFFHALTESTOGD.9,9,POINT (16.31315401511329 48.13672555282921),Perfektastraße,Perfektastr.,"255, 266",
OEFFHALTESTOGD.10,10,POINT (16.33124370113115 48.174376943557355),Philadelphiabrücke bzw. Meidling (ÖBB),Philadelphiabr. bzw. Meidling (ÖBB),"62A, 7A, 8A",
OEFFHALTESTOGD.11,11,POINT (16.316262058940904 48.16534537421621),Breitenfurter Straße/Altmannsdorfer Straße,Breitenfurter Str./Altmannsdorfer Str.,"62, 62A",
OEFFHALTESTOGD.12,12,POINT (16.3265374397101 48.21410499577627),Teichgasse,Teichg.,"44, 9",
OEFFHALTESTOGD.13,13,POINT (16.313304626110096 48.17417004351609),Gaßmannstraße,Gaßmannstr.,"63A, 8A",
OEFFHALTESTOGD.14,14,POINT (16.327398802318363 48.17229252428122),Wienerbergbrücke,Wienerbergbr.,"15A, 62, 62A, 7A",
OEFFHALTESTOGD.15,15,POINT (16.281219602137252 48.132347764094725),Liesing Bad,Liesing Bad,"255, 256, 257, 264",
OEFFHALTESTOGD.16,16,POINT (16.297926382338833 48.14371367094826),Atzgersdorf Friedhof,Atzgersdorf Friedh.,"260, 60A, 66A",
OEFFHALTESTOGD.17,17,POINT (16.313169668155922 48.18811912908013),Schloß Schönbrunn,Schloß Schönbrunn,"10, 58",
OEFFHALTESTOGD.18,18,POINT (16.209585401920506 48.224276625923785),Vorderhainbach,Vorderhainbach,"249, 250, 449",
OEFFHALTESTOGD.19,19,POINT (16.320335759465177 48.19003407288264),Winckelmannstraße,Winckelmannstr.,"52, 58",
OEFFHALTESTOGD.20,20,POINT (16.31549874653893 48.16433855352438),Breitenfurter Straße/Altmannsdorfer Straße,Breitenfurter Str./Altmannsdorfer Str.,"16A, 64A",
OEFFHALTESTOGD.21,21,POINT (16.255096436273643 48.20269324798409),Hütteldorf Bujattigasse,Hütteldorf Bujattig.,"150, 249, 250, 350, 351, 447, 449, 49A, 49B, 50B, 547",
OEFFHALTESTOGD.22,22,POINT (16.29164741166761 48.16238207976236),Am Rosenhügel,Am Rosenhügel,"260, 56B, 58B",
OEFFHALTESTOGD.23,23,POINT (16.31480537598713 48.18988591548011),Penzinger Straße,Penzinger Str.,"10, 58",
OEFFHALTESTOGD.24,24,POINT (16.297856325830644 48.12947916951439),Siebenhirten Brunner Straße,Siebenhirten Brunner Str.,"207, 260, 270",
OEFFHALTESTOGD.25,25,POINT (16.334554496971375 48.23709521784563),Dänenstraße,Dänenstr.,"10A, 37A, 40A",
OEFFHALTESTOGD.26,26,POINT (16.30830878759075 48.22614996890783),Güpferlingstraße,Güpferlingstr.,"43, 44B",
OEFFHALTESTOGD.27,27,POINT (16.28856257163084 48.14229667914498),Steinergasse,Steinerg.,"60A, 66A",
OEFFHALTESTOGD.28,28,POINT (16.291201337875055 48.141819127987404),Leopoldigasse,Leopoldig.,"60A, 66A",
OEFFHALTESTOGD.29,29,POINT (16.33096310811372 48.174455341829336),Philadelphiabrücke bzw. Meidling (ÖBB),Philadelphiabr. bzw. Meidling (ÖBB),"62, WLB",
OEFFHALTESTOGD.30,30,POINT (16.29719956035354 48.25175367732491),Celtesgasse,Celtesg.,"35A, 43B",
OEFFHALTESTOGD.31,31,POINT (16.307595174147483 48.25040972166192),Agnesgasse,Agnesg.,"35A, 39A, 43B",
OEFFHALTESTOGD.32,32,POINT (16.33580762941599 48.17550289234987),Dörfelstraße,Dörfelstr.,"62, WLB",
OEFFHALTESTOGD.33,33,POINT (16.29688739158705 48.14613758262642),Erlaaer Straße/Brunner Straße,Erlaaer Str./Brunner Str.,"260, 60A, 66A",
OEFFHALTESTOGD.34,34,POINT (16.315062426360974 48.16623395001494),Hetzendorf,Hetzendorf,"16A, 64A",
OEFFHALTESTOGD.35,35,POINT (16.27297055679613 48.20534256391149),Pulmologisches Zentrum,Pulmologisches Zentrum,"47A, 48A",
OEFFHALTESTOGD.36,36,POINT (16.29573635906809 48.14587089708314),Erlaaer Straße/Brunner Straße,Erlaaer Str./Brunner Str.,"58B, 62A, 66A",
OEFFHALTESTOGD.37,37,POINT (16.264369700300392 48.15193352802282),Valentingasse,Valenting.,"156B, 60A",
OEFFHALTESTOGD.38,38,POINT (16.301926277843986 48.18609524001145),Am Platz,Am Platz,"156B, 56B, 58B",
OEFFHALTESTOGD.39,39,POINT (16.288278485744982 48.13822188159919),Dr-Neumann-Gasse,Dr-Neumann-G.,"255, 62A, 64A",
OEFFHALTESTOGD.40,40,POINT (16.283357502453587 48.14752402254115),Rudolf-Zeller-Gasse,Rudolf-Zeller-G.,"156B, 56B, 58B, 60A, 66A",
OEFFHALTESTOGD.41,41,POINT (16.311576962913385 48.21268395454657),Ottakring,Ottakring,"2, 46",
OEFFHALTESTOGD.42,42,POINT (16.320514997363322 48.15203426369155),Steinsee,Steinsee,"64A, 66A",
OEFFHALTESTOGD.43,43,POINT (16.297965456391736 48.14123377495024),Carlbergergasse,Carlbergerg.,"255, 260",
OEFFHALTESTOGD.44,44,POINT (16.302172938787095 48.12843308205113),Industriegelände Liesing Süd,Industriegelände Liesing Süd,"207, 270",
OEFFHALTESTOGD.45,45,POINT (16.319015848707647 48.199099351964755),Johnstraße,Johnstr.,"12A, 49",
OEFFHALTESTOGD.46,46,POINT (16.23876320446022 48.21051676438925),Riedstraße,Riedstr.,"249, 49A, 49B",
OEFFHALTESTOGD.47,47,POINT (16.239299572208765 48.211346841700866),Stammhausstraße,Stammhausstr.,"249, 49A, 49B",
OEFFHALTESTOGD.48,48,POINT (16.305299940741392 48.12605662880775),Kellerberggasse,Kellerbergg.,"266, 269, 270",
OEFFHALTESTOGD.49,49,POINT (16.322729959400775 48.22381348109536),Richthausenstraße,Richthausenstr.,"10A, 42A",
OEFFHALTESTOGD.50,50,POINT (16.241303237993485 48.20972186348773),Pfarrwiesenstraße,Pfarrwiesenstr.,"249, 49A, 49B",
OEFFHALTESTOGD.51,51,POINT (16.3182271688687 48.17603210122629),Stranitzkygasse,Stranitzkyg.,"63A, 8A",
OEFFHALTESTOGD.52,52,POINT (16.302861578451097 48.122973195940226),Auf der Schanz,A.d. Schanz,"266, 269, 270",
OEFFHALTESTOGD.53,53,POINT (16.284404990649517 48.13540304204091),Liesing,Liesing,"500, S1, S2, S3",
OEFFHALTESTOGD.54,54,POINT (16.297675827644554 48.2378869425596),Schafberghöhe,Schafberghöhe,42A,
OEFFHALTESTOGD.55,55,POINT (16.295803442693565 48.18941232733326),Braunschweiggasse,Braunschweigg.,U4,
OEFFHALTESTOGD.56,56,POINT (16.282536316879845 48.135734377099766),Dirmhirngasse,Dirmhirng.,66A,
OEFFHALTESTOGD.57,57,POINT (16.283931044615823 48.16815449306826),Hermesstraße,Hermesstr.,62,
OEFFHALTESTOGD.58,58,POINT (16.287870545891856 48.23693783775419),Neuwaldegger Straße,Neuwaldegger Str.,43A,
OEFFHALTESTOGD.59,59,POINT (16.301111658700496 48.23601717927656),Schafbergbad,Schafbergbad,42A,
OEFFHALTESTOGD.60,60,POINT (16.27844555388986 48.135907766648174),Löwenthalgasse,Löwenthalg.,60A,
OEFFHALTESTOGD.61,61,POINT (16.301709071529398 48.23489096419142),Werfelstraße,Werfelstr.,42A,
OEFFHALTESTOGD.62,62,POINT (16.288586225544883 48.13612824919898),Seybelgasse,Seybelg.,64A,
OEFFHALTESTOGD.63,63,POINT (16.29065609984316 48.234503508338776),Neuwaldegg,Neuwaldegg,43A,
OEFFHALTESTOGD.64,64,POINT (16.291577078714834 48.23355874234325),Neuwaldegg,Neuwaldegg,43,
OEFFHALTESTOGD.65,65,POINT (16.29109323440745 48.233530168666434),Neuwaldegg,Neuwaldegg,243,
OEFFHALTESTOGD.66,66,POINT (16.30400018901188 48.18824831782054),Hietzing,Hietzing,51A,
OEFFHALTESTOGD.67,67,POINT (16.296517332986774 48.2668661356844),"Höhenstraße, Rohrerwiese","Höhenstr., Rohrerwiese",43A,
OEFFHALTESTOGD.68,68,POINT (16.303604391182194 48.18789915592129),Hietzing,Hietzing,10,
OEFFHALTESTOGD.69,69,POINT (16.303399516068307 48.18787689522766),Hietzing,Hietzing,260,
OEFFHALTESTOGD.70,70,POINT (16.303613875526505 48.187854472933054),Hietzing,Hietzing,58,
OEFFHALTESTOGD.71,71,POINT (16.30422519744197 48.18784031168679),Hietzing,Hietzing,60,
OEFFHALTESTOGD.72,72,POINT (16.302423065641186 48.13683771246437),Eduard-Kittenberger-Gasse,Eduard-Kittenberger-G.,64A,
OEFFHALTESTOGD.73,73,POINT (16.285948272147063 48.19112784436349),Unter Sankt Veit,Unter St. Veit,U4,
OEFFHALTESTOGD.74,74,POINT (16.27818513326902 48.136897183815215),Alte Brauerei Liesing,Alte Brauerei Liesing,"253, 259, 354",
OEFFHALTESTOGD.75,75,POINT (16.287169955842007 48.19150440131831),Unter Sankt Veit,Unter St. Veit,47A,
OEFFHALTESTOGD.76,76,POINT (16.298137248434166 48.137317799343464),An den Steinfeldern,A.d. Steinfeldern,"260, 64A",
OEFFHALTESTOGD.77,77,POINT (16.280894353416734 48.191709526052826),Mantlergasse,Mantlerg.,47A,
OEFFHALTESTOGD.78,78,POINT (16.27734639827636 48.1875472643053),Preindlgasse,Preindlg.,"53B, 54B, 55B",
OEFFHALTESTOGD.79,79,POINT (16.281815309809243 48.23125819199233),Mitterberg,Mitterberg,44B,
OEFFHALTESTOGD.80,80,POINT (16.294191201709136 48.26395350339685),Rohrerwiese,Rohrerwiese,243,
OEFFHALTESTOGD.81,81,POINT (16.301851163007093 48.192328664120936),Cumberlandstraße,Cumberlandstr.,51A,
OEFFHALTESTOGD.82,82,POINT (16.281239136269097 48.13773450083493),Schartlgasse,Schartlg.,66A,
OEFFHALTESTOGD.83,83,POINT (16.283365688256872 48.23923754913661),Geroldgasse,Geroldg.,43A,
OEFFHALTESTOGD.84,84,POINT (16.29593459819172 48.23069348974537),Himmelmutterweg,Himmelmutterweg,43,
OEFFHALTESTOGD.85,85,POINT (16.283396513902968 48.23020335295086),Verein Trenkwald,Verein Trenkwald,44B,
OEFFHALTESTOGD.86,86,POINT (16.304082116565358 48.19274496472331),Penzing,Penzing,"100, S50",
OEFFHALTESTOGD.87,87,POINT (16.2819831068217 48.13835707983758),Mehlführergasse,Mehlführerg.,66A,
OEFFHALTESTOGD.88,88,POINT (16.28232053238268 48.18733807825253),Verbindungsbahn,Verbindungsbahn,58,
OEFFHALTESTOGD.89,89,POINT (16.28042784716713 48.140613099958145),Liesing Schulzentrum,Liesing Schulzentrum,66A,
OEFFHALTESTOGD.90,90,POINT (16.280490457569922 48.1872003405062),Bossigasse,Bossig.,55B,
OEFFHALTESTOGD.91,91,POINT (16.282190759512954 48.229554160039),Grasgasse,Grasg.,44B,
OEFFHALTESTOGD.92,92,POINT (16.280455525524225 48.18715170426517),Bossigasse,Bossig.,53B,
OEFFHALTESTOGD.93,93,POINT (16.29774580128504 48.228892098931894),Heuberggasse,Heubergg.,44B,
OEFFHALTESTOGD.94,94,POINT (16.28272531115321 48.228633169894934),Moosgasse,Moosg.,44B,
OEFFHALTESTOGD.95,95,POINT (16.303813029239354 48.141118936353934),Kugelmanngasse,Kugelmanng.,255,
OEFFHALTESTOGD.96,96,POINT (16.295921366588676 48.14114595511892),Klostermanngasse,Klostermanng.,255,
OEFFHALTESTOGD.97,97,POINT (16.301803353788873 48.228169430262646),Dornbacher Straße,Dornbacher Str.,"43, 44B",
OEFFHALTESTOGD.98,98,POINT (16.280986137923225 48.2280017015449),Pointengasse,Pointeng.,44B,
OEFFHALTESTOGD.99,99,POINT (16.29047882419896 48.134041158028815),Liesing Feuerwache,Liesing Feuerwache,64A,
OEFFHALTESTOGD.100,100,POINT (16.293798017868063 48.13363266967768),Liesing Friedhof,Liesing Friedh.,64A,
OEFFHALTESTOGD.101,101,POINT (16.29155076511931 48.14127755651521),Leopoldigasse,Leopoldig.,62A,
OEFFHALTESTOGD.102,102,POINT (16.279638959449123 48.227028658827635),Siedlung Heuberg,Sdlg. Heuberg,44B,
OEFFHALTESTOGD.103,103,POINT (16.296115954013295 48.22698386296991),Braungasse,Braung.,44B,
OEFFHALTESTOGD.104,104,POINT (16.28084275570353 48.226661647288196),Plachygasse,Plachyg.,44B,
OEFFHALTESTOGD.105,105,POINT (16.299526467190383 48.1938778772502),Ameisgasse,Ameisg.,52,
OEFFHALTESTOGD.106,106,POINT (16.289174004609276 48.18711596922784),Fichtnergasse,Fichtnerg.,58,
OEFFHALTESTOGD.107,107,POINT (16.292443093837804 48.14153673877675),Marenabrücke,Marenabr.,60A,
OEFFHALTESTOGD.108,108,POINT (16.279472147491536 48.240607155072134),Linienamt Neuwaldegg,Linienamt Neuwaldegg,"243, 43A, 43B",
OEFFHALTESTOGD.109,109,POINT (16.283425910839142 48.22605329105458),Heuberg Schutzhaus,Heuberg Schutzhaus,44B,
OEFFHALTESTOGD.110,110,POINT (16.292402417291257 48.14154627871509),Marenabrücke,Marenabr.,66A,
OEFFHALTESTOGD.111,111,POINT (16.291743605016453 48.141720552422356),Leopoldigasse,Leopoldig.,255,
OEFFHALTESTOGD.112,112,POINT (16.285245052963624 48.22580876455948),Schrammelgasse,Schrammelg.,44B,
OEFFHALTESTOGD.113,113,POINT (16.286237227110814 48.22555963828007),Kretschekgasse,Kretschekg.,44B,
OEFFHALTESTOGD.114,114,POINT (16.290625457115 48.22518543088331),Wallishaussergasse,Wallishausserg.,44B,
OEFFHALTESTOGD.115,115,POINT (16.298026027759057 48.13310326090503),Industriegelände Liesing West,Industriegelände Liesing West,"260, 64A",
OEFFHALTESTOGD.116,116,POINT (16.295591495885734 48.194355447111654),Lützowgasse,Lützowg.,52,
OEFFHALTESTOGD.117,117,POINT (16.283372806943632 48.224457817460305),Bieglerhütte,Bieglerhütte,44B,
OEFFHALTESTOGD.118,118,POINT (16.28682379944093 48.22440763832003),Eselsstiege,Eselsstiege,44B,
OEFFHALTESTOGD.119,119,POINT (16.29958449314005 48.194561100636705),Ameisgasse,Ameisg.,51A,
OEFFHALTESTOGD.120,120,POINT (16.286178276897758 48.194571233085206),Zehetnergasse/Linzer Straße,Zehetnerg./Linzer Str.,"47A, 52",
OEFFHALTESTOGD.121,121,POINT (16.281561551051333 48.13231813653136),Liesing Bad,Liesing Bad,207,
OEFFHALTESTOGD.122,122,POINT (16.281340721143344 48.24236763066959),Artariastraße,Artariastr.,"43A, 43B",
OEFFHALTESTOGD.123,123,POINT (16.290059987269032 48.19465238868034),Gusenleithnergasse,Gusenleithnerg.,52,
OEFFHALTESTOGD.124,124,POINT (16.281412238195173 48.187108321528044),Verbindungsbahn,Verbindungsbahn,"53B, 54B",
OEFFHALTESTOGD.125,125,POINT (16.283183413026688 48.195265744794035),Gruschaplatz,Gruschapl.,52,
OEFFHALTESTOGD.126,126,POINT (16.290690473471155 48.22304395192609),Oberwiedenstraße,Oberwiedenstr.,146B,
OEFFHALTESTOGD.127,127,POINT (16.280872581305466 48.195571551601915),Gruschaplatz,Gruschapl.,47A,
OEFFHALTESTOGD.128,128,POINT (16.29353318667631 48.1869704026932),Wenzgasse,Wenzg.,58,
OEFFHALTESTOGD.129,129,POINT (16.280736143940846 48.14455597784403),Corvinusgasse,Corvinusg.,66A,
OEFFHALTESTOGD.130,130,POINT (16.289260144663235 48.222285700825836),Predigtstuhl,Predigtstuhl,"146B, 46B",
OEFFHALTESTOGD.131,131,POINT (16.29121814506211 48.22225444408197),Oberwiedenstraße,Oberwiedenstr.,46B,
OEFFHALTESTOGD.132,132,POINT (16.29300039030211 48.14554881355338),Knotzenbachgasse,Knotzenbachg.,"260, 58B, 66A",
OEFFHALTESTOGD.133,133,POINT (16.291823308740398 48.22158637179144),Otto-Hölzl-Weg,Otto-Hölzl-Weg,146B,
OEFFHALTESTOGD.134,134,POINT (16.29856743537284 48.18651575032166),Dommayergasse,Dommayerg.,58,
OEFFHALTESTOGD.135,135,POINT (16.298661656594327 48.18639690193872),Dommayergasse,Dommayerg.,60,
OEFFHALTESTOGD.136,136,POINT (16.287865351897537 48.14650259334201),Atzgersdorf,Atzgersdorf,66A,
OEFFHALTESTOGD.137,137,POINT (16.287235416892347 48.146663644704496),Atzgersdorf,Atzgersdorf,60A,
OEFFHALTESTOGD.138,138,POINT (16.288144606515086 48.14690769013673),Atzgersdorf,Atzgersdorf,60A,
OEFFHALTESTOGD.139,139,POINT (16.285001946279873 48.220169359902634),Schloß Wilhelminenberg,Schloß Wilhelminenberg,"146B, 46B",
OEFFHALTESTOGD.140,140,POINT (16.296163135857682 48.21997199657992),Kempfengerngasse,Kempfengerng.,"146B, 46B",
OEFFHALTESTOGD.141,141,POINT (16.288643723909818 48.14706050323558),Atzgersdorf,Atzgersdorf,"500, S1, S2, S3",
OEFFHALTESTOGD.142,142,POINT (16.281054263348704 48.2194514528538),Savoyenstraße/Königspromenade,Savoyenstr./Königspromenade,"146B, 46B",
OEFFHALTESTOGD.143,143,POINT (16.30172777096827 48.14730320593786),Josef-Österreicher-Gasse,Josef-Österreicher-G.,"60A, 66A",
OEFFHALTESTOGD.144,144,POINT (16.293515587182522 48.14751685597761),Atzgersdorf Kirchenplatz,Atzgersdorf Kirchenpl.,"260, 58B, 66A",
OEFFHALTESTOGD.145,145,POINT (16.27709377671596 48.19682226322772),Hochsatzengasse/Linzer Straße,Hochsatzeng./Linzer Str.,52,
OEFFHALTESTOGD.146,146,POINT (16.29502699659366 48.147549726632775),Atzgersdorf Kirchenplatz,Atzgersdorf Kirchenpl.,"58B, 66A",
OEFFHALTESTOGD.147,147,POINT (16.28843778364445 48.14768713967374),Atzgersdorf,Atzgersdorf,60A,
OEFFHALTESTOGD.148,148,POINT (16.28867389670562 48.14770972069905),Atzgersdorf,Atzgersdorf,"156B, 260, 56B, 58B, 66A",
OEFFHALTESTOGD.149,149,POINT (16.27711664025822 48.19684560072968),Hochsatzengasse/Linzer Straße,Hochsatzeng./Linzer Str.,47A,
OEFFHALTESTOGD.150,150,POINT (16.30101916821141 48.21836717120955),Kollburggasse,Kollburgg.,"146B, 46B",
OEFFHALTESTOGD.151,151,POINT (16.29960767110826 48.21834368639969),Paulinensteig,Paulinensteig,"146B, 46B",
OEFFHALTESTOGD.152,152,POINT (16.295470867496093 48.14908914604755),Hödlgasse,Hödlg.,260,
OEFFHALTESTOGD.153,153,POINT (16.287103519225184 48.19687052840956),"Zehetnergasse, Pflegeheim Baumgarten","Zehetnerg., Pflegeh. Baumgarten",49,
OEFFHALTESTOGD.154,154,POINT (16.277188499974425 48.149601431630224),Karl-Schwed-Gasse,Karl-Schwed-G.,60A,
OEFFHALTESTOGD.155,155,POINT (16.286055719123052 48.19694567663739),"Zehetnergasse, Pflegeheim Baumgarten","Zehetnerg., Pflegeh. Baumgarten",47A,
OEFFHALTESTOGD.156,156,POINT (16.29948968786528 48.149908046316476),Campingplatz Wien Süd,Campingpl. Wien Süd,62A,
OEFFHALTESTOGD.157,157,POINT (16.284494573392752 48.14990313028272),Taglieberstraße,Taglieberstr.,"156B, 56B, 58B, 60A",
OEFFHALTESTOGD.158,158,POINT (16.2817574502259 48.18598573324653),Hummelgasse,Hummelg.,58,
OEFFHALTESTOGD.159,159,POINT (16.289712217125444 48.15020972382504),Haus Atzgersdorf,Haus Atzgersdorf,156B,
OEFFHALTESTOGD.160,160,POINT (16.289775353014736 48.15046240469833),Haus Atzgersdorf,Haus Atzgersdorf,56B,
OEFFHALTESTOGD.161,161,POINT (16.28979201694874 48.15052901857824),Haus Atzgersdorf,Haus Atzgersdorf,58B,
OEFFHALTESTOGD.162,162,POINT (16.28111004777732 48.184483551331965),Rossinigasse,Rossinig.,55B,
OEFFHALTESTOGD.163,163,POINT (16.289895923737152 48.150944438964125),Haus Atzgersdorf,Haus Atzgersdorf,260,
OEFFHALTESTOGD.164,164,POINT (16.291926861868994 48.21573267939985),An der Scheibenwiese,A.d. Scheibenwiese,45B,
OEFFHALTESTOGD.165,165,POINT (16.294901833403863 48.19725636435947),Hütteldorfer Straße/Lützowgasse,Hütteldorfer Str./Lützowg.,49,
OEFFHALTESTOGD.166,166,POINT (16.29392259467306 48.21538971974461),Funkengerngasse,Funkengerng.,45B,
OEFFHALTESTOGD.167,167,POINT (16.278013112258005 48.21533668809199),Feuerwache Am Steinhof,Feuerwache Am Steinhof,"146B, 46B, 52B",
OEFFHALTESTOGD.168,168,POINT (16.28040710853329 48.21522658235945),Hertlgasse,Hertlg.,"146B, 46B",
OEFFHALTESTOGD.169,169,POINT (16.301438409501323 48.263889593678805),Sievering Forsthaus,Sievering Forsthaus,243,
OEFFHALTESTOGD.170,170,POINT (16.291571493533784 48.18298395997391),Gloriettegasse,Glorietteg.,60,
OEFFHALTESTOGD.171,171,POINT (16.280727432566565 48.19757922232772),Waidhausenstraße,Waidhausenstr.,"47A, 49",
OEFFHALTESTOGD.172,172,POINT (16.282211171831435 48.15229149187784),Am Spiegeln,Am Spiegeln,"156B, 56B, 58B",
OEFFHALTESTOGD.173,173,POINT (16.281975738716362 48.15239733405222),Am Spiegeln,Am Spiegeln,60A,
OEFFHALTESTOGD.174,174,POINT (16.28442041682198 48.15254937843115),Ruzickagasse,Ruzickag.,58B,
OEFFHALTESTOGD.175,175,POINT (16.300049647180597 48.21444723823972),Ottakringer Friedhof,Ottakringer Friedh.,45B,
OEFFHALTESTOGD.176,176,POINT (16.280806232485116 48.18160781057851),Schrutkagasse,Schrutkag.,55B,
OEFFHALTESTOGD.177,177,POINT (16.285414458260828 48.214272809591016),Reizenpfenninggasse,Reizenpfenningg.,"146B, 46B",
OEFFHALTESTOGD.178,178,POINT (16.2911511184875 48.15300187493474),Endemanngasse,Endemanng.,56B,
OEFFHALTESTOGD.179,179,POINT (16.29043159370839 48.1530937724947),Endemanngasse,Endemanng.,"156B, 58B",
OEFFHALTESTOGD.180,180,POINT (16.285721917786194 48.1815122695851),Stadlergasse,Stadlerg.,60,
OEFFHALTESTOGD.181,181,POINT (16.301556978404253 48.21407420167112),Gallitzinstraße,Gallitzinstr.,46B,
OEFFHALTESTOGD.182,182,POINT (16.301850609377674 48.21404787203956),Gallitzinstraße,Gallitzinstr.,45B,
OEFFHALTESTOGD.183,183,POINT (16.30171596251404 48.153839091038165),Kunerolgasse,Kunerolg.,62A,
OEFFHALTESTOGD.184,184,POINT (16.299303197197254 48.181097550061956),Tiroler Gasse,Tiroler G.,"156B, 56B, 58B",
OEFFHALTESTOGD.185,185,POINT (16.301298971999106 48.21376104762476),Gallitzinstraße,Gallitzinstr.,146B,
OEFFHALTESTOGD.186,186,POINT (16.291629929049154 48.15415376660116),Tullnertalgasse,Tullnertalg.,"156B, 260",
OEFFHALTESTOGD.187,187,POINT (16.27796756170216 48.181052761578215),Tolstojgasse,Tolstojg.,"54B, 55B",
OEFFHALTESTOGD.188,188,POINT (16.280126477594557 48.15480131374582),Eberstorferweg,Eberstorferweg,58B,
OEFFHALTESTOGD.189,189,POINT (16.291233247650457 48.15637552040067),Reibergasse,Reiberg.,56B,
OEFFHALTESTOGD.190,190,POINT (16.283653741993625 48.17710211480613),Jagdschloßgasse,Jagdschloßg.,60,
OEFFHALTESTOGD.191,191,POINT (16.295055585755275 48.176553949061855),Wattmanngasse/Elisabethallee,Wattmanng./Elisabethallee,"58B, 8A",
OEFFHALTESTOGD.192,192,POINT (16.277440336325416 48.19797497984491),Hochsatzengasse/Hütteldorfer Straße,Hochsatzeng./Hütteldorfer Str.,49,
OEFFHALTESTOGD.193,193,POINT (16.288617248900778 48.213268624322744),Pönningerweg,Pönningerweg,"146B, 46B",
OEFFHALTESTOGD.194,194,POINT (16.291172222514774 48.157141051316),Schluckergasse,Schluckerg.,156B,
OEFFHALTESTOGD.195,195,POINT (16.279886627563197 48.158309146405664),Deißenhofergasse,Deißenhoferg.,58B,
OEFFHALTESTOGD.196,196,POINT (16.288459450571814 48.13075917393579),Pellmanngasse,Pellmanng.,207,
OEFFHALTESTOGD.197,197,POINT (16.302421099385814 48.19811991756983),Leyserstraße,Leyserstr.,"49, 51A",
OEFFHALTESTOGD.198,198,POINT (16.290525250078453 48.21254038467492),Ottakringer Bad,Ottakringer Bad,"146B, 46B",
OEFFHALTESTOGD.199,199,POINT (16.290243198941013 48.15832751914174),Schluckergasse,Schluckerg.,"260, 56B, 58B",
OEFFHALTESTOGD.200,200,POINT (16.287032543947966 48.15936295067848),Haus Rosenberg,Haus Rosenberg,"260, 56B",
OEFFHALTESTOGD.201,201,POINT (16.286390535806696 48.258273475959726),Dreimarkstein,Dreimarkstein,43A,
OEFFHALTESTOGD.202,202,POINT (16.28897714246406 48.21179248070711),Ottakringer Bad,Ottakringer Bad,51A,
OEFFHALTESTOGD.203,203,POINT (16.29125362980761 48.175383964445395),"Küniglberg, ORF-Zentrum","Küniglberg, ORF-Zentrum","58B, 8A",
OEFFHALTESTOGD.204,204,POINT (16.285953648715576 48.15943218279943),Haus Rosenberg,Haus Rosenberg,58B,
OEFFHALTESTOGD.205,205,POINT (16.293803748047157 48.19888289840913),Hanusch-Krankenhaus,Hanusch-Krankenhaus,51A,
OEFFHALTESTOGD.206,206,POINT (16.296584030317383 48.21165848302739),Steinlegasse,Steinleg.,"146B, 46B",
OEFFHALTESTOGD.207,207,POINT (16.301859855615685 48.16108464282846),Südwestfriedhof 2.Tor,SüdwestFriedh. 2.Tor,63A,
OEFFHALTESTOGD.208,208,POINT (16.298529242050392 48.24666792805592),Neustifter Friedhof 3.Tor,Neustifter Friedh. 3.Tor,41A,
OEFFHALTESTOGD.209,209,POINT (16.297709641514523 48.17522386269534),Montecuccoliplatz,Montecuccolipl.,"156B, 260, 56B, 58B, 8A",
OEFFHALTESTOGD.210,210,POINT (16.300733943114892 48.16121161247085),Südwestfriedhof 8.Tor,SüdwestFriedh. 8.Tor,63A,
OEFFHALTESTOGD.211,211,POINT (16.298603487322342 48.16147286630508),Südwestfriedhof 3.Tor,SüdwestFriedh. 3.Tor,63A,
OEFFHALTESTOGD.212,212,POINT (16.279542426411744 48.200242048410715),Baumgartner Friedhof/Tinterstraße,Baumgartner Friedh./Tinterstr.,47A,
OEFFHALTESTOGD.213,213,POINT (16.29207393670592 48.20146246282308),Ameisbachzeile,Ameisbachzeile,51A,
OEFFHALTESTOGD.214,214,POINT (16.27897803461866 48.20169782923932),Baumgartner Friedhof,Baumgartner Friedh.,47A,
OEFFHALTESTOGD.215,215,POINT (16.29811802322121 48.16153284942744),Südwestfriedhof 7.Tor,Südwestfriedh. 7.Tor,63A,
