railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
1870,008509411,Sargans,Sargans,Sargans,http://live.dbpedia.org/resource/Sargans,9.446208,47.044779
1873,008503202,Thalwil,Thalwil,Thalwil,http://live.dbpedia.org/resource/Thalwil,8.564713,47.295977
1874,008503206,Waedenswil,Waedenswil,Waedenswil,http://live.dbpedia.org/resource/Waedenswil,8.675184,47.229283
1875,008503209,Pfaeffikon Sz,Pfaeffikon Sz,Pfaeffikon Sz,http://live.dbpedia.org/resource/Pfaeffikon_Sz,8.784727,47.367045
1876,008503225,Ziegelbrücke,Ziegelbrücke,Ziegelbrücke,http://live.dbpedia.org/resource/Ziegelbrücke,9.059934,47.136179
1877,008509004,Bad Ragaz,Bad Ragaz,Bad Ragaz,http://live.dbpedia.org/resource/Bad_Ragaz,9.505319,47.010239
1890,,Calais-Fréthun,Calais-Fréthun,Calais-Fréthun,http://live.dbpedia.org/resource/Calais-Fréthun,1.811168,50.901418
1899,008727149,Aéroport CDG 2 TGV,Aéroport CDG 2 TGV,Aéroport CDG 2 TGV,http://live.dbpedia.org/resource/Aéroport_CDG_2_TGV,2.571125,49.003955
1930,008775544,Les Arcs Draguignan,Les Arcs Draguignan,Les Arcs Draguignan,http://live.dbpedia.org/resource/Les_Arcs_Draguignan,6.482261,43.4557
1931,008775762,Cannes,Cannes,Cannes,http://live.dbpedia.org/resource/Cannes,7.019589,43.553984
1932,008775767,Antibes,Antibes,Antibes,http://live.dbpedia.org/resource/Antibes,7.11955,43.585865
1933,,Nîmes,Nîmes,Nîmes,http://live.dbpedia.org/resource/Nîmes,4.366249,43.832417
1934,008778127,Agde,Agde,Agde,http://live.dbpedia.org/resource/Agde,3.466089,43.317248
1935,008778100,Béziers,Béziers,Béziers,http://live.dbpedia.org/resource/Béziers,3.218656,43.336275
1936,008731901,Aix-en-Provence TGV,Aix-en-Provence TGV,Aix-en-Provence TGV,http://live.dbpedia.org/resource/Aix-en-Provence_TGV,5.317117,43.455186
1937,,Sète,Sète,Sète,http://live.dbpedia.org/resource/Sète,3.696507,43.412737
